2017-04-04T17:05:34.009;unknown;distance;0.9088;
2017-04-04T17:05:36.060;unknown;distance;0.9103;
2017-04-04T17:05:47.968;unknown;distance;0.9184;
2017-04-04T17:05:50.043;unknown;distance;0.9878;
2017-04-04T17:05:52.095;unknown;distance;0.9219;
2017-04-04T17:05:54.160;unknown;distance;0.9611;
2017-04-04T17:05:55.714;unknown;distance;0.9021;
2017-04-04T17:05:57.267;unknown;distance;0.9449;
2017-04-04T17:05:59.336;unknown;distance;0.9822;
2017-04-04T17:06:00.372;unknown;distance;0.9203;
2017-04-04T17:06:02.431;unknown;distance;0.9758;
2017-04-04T17:06:13.293;unknown;distance;0.9700;
2017-04-04T17:06:14.837;unknown;distance;0.9150;
2017-04-04T17:06:16.382;unknown;distance;1.0091;
2017-04-04T17:06:17.936;unknown;distance;0.9166;
2017-04-04T17:06:18.973;unknown;distance;0.9685;
2017-04-04T17:06:20.500;unknown;distance;0.9967;
2017-04-04T17:06:22.049;unknown;distance;0.9858;
2017-04-10T13:09:02.828;unknown;distance;0.9074;
2017-04-10T13:11:07.085;unknown;distance;0.9264;
2017-04-24T21:20:40.218;unknown;distance;0.9305;
2017-04-24T21:37:45.217;unknown;distance;0.9614;
2017-05-04T14:39:04.446;unknown;distance;1.1339;
2017-05-04T14:39:06.776;unknown;distance;1.0209;
2017-05-04T14:39:09.627;unknown;distance;1.0432;
2017-05-04T14:39:14.394;unknown;distance;0.9877;
2017-05-04T14:39:16.541;unknown;distance;1.1393;
2017-05-04T14:39:17.694;unknown;distance;1.0967;
2017-05-04T17:21:19.687;unknown;distance;0.9583;
2017-05-04T19:59:01.738;unknown;distance;1.0130;
2017-05-12T14:01:21.914;unknown;distance;0.9448;
