-0.46748620634440435 ,
-0.47008714486033704 ,
-0.46901829521243105 ,
-0.5206573561991197 ,
-0.5009528445671931 ,
-0.48410202678252606 ,
-0.4757023565525331 ,
-0.45247360995540575 ,
-0.37681416421084263 ,
-0.36824210098829946 ,
-0.3679418474727 ,
-0.32115034153287114 ,
-0.2678262490315329 ,
-0.2853716517753301 ,
-0.24475612659956317 ,
-0.19561081248545617 ,
-0.20899537809134375 ,
-0.19764544266534317 ,
-0.16082194564524732 ,
-0.1929929624969738 ,
-0.1368289308029773 ,
-0.15653472181662828 ,
-0.1538028209172706 ,
-0.16547293264333493 ,
-0.16856973305431228 ,
-0.18375632953980103 ,
-0.18811787509206432 ,
-0.20114051931324126 ,
-0.18239621931267092 ,
-0.18366621538394867 ,
-0.20167941496676983 ,
-0.22419407517052048 ,
-0.20403743234158123 ,
-0.20013287777322736 ,
-0.19009686748824423 ,
-0.19188543637902528 ,
-0.18040266215092043 ,
-0.15498721033569585 ,
-0.13686110149440472 ,
-0.12795665897086062 ,
-0.14233164893507538 ,
-0.12271167887632456 ,
-0.12353538001224623 ,
-0.11939575760122284 ,
-0.09570345725689278 ,
-0.09879866381987995 ,
-0.09754181778381138 ,
-0.10466598057345411 ,
-0.1174620372112119 ,
-0.10420735811558868 ,
-0.10531200526464835 ,
-0.11285623471545642 ,
-0.12589309976691093 ,
-0.1457604892557406 ,
-0.12036150652748312 ,
-0.12310366962206032 ,
-0.10647848613208122 ,
-0.08423453942341663 ,
-0.06474997888108469 ,
-0.07109901265822599 ,
-0.06898214656186669 ,
-0.06101450407098341 ,
-0.05645228119324058 ,
-0.053143401042278327 ,
-0.05990682813466652 ,
-0.08625010829090946 ,
-0.11489483486484975 ,
-0.09083799927416403 ,
-0.07900851899915512 ,
-0.039396812479643606 ,
-0.020009679253548518 ,
-0.003701356466132011 ,
-0.01263881240000403 ,
0.026452032689447957 ,
-0.008167255601474244 ,
-0.05177629711604259 ,
-0.03981064906605675 ,
-0.05439845999545895 ,
-0.053049643030376514 ,
-0.04519851957554477 ,
-0.04018627676122133 ,
-0.028162608237594866 ,
0.0068661375914101375 ,
0.01048723585714545 ,
0.03428924231713487 ,
0.08314983176695706 ,
0.06630144663658138 ,
0.07581420000160216 ,
0.11927508842077056 ,
0.1439738222589747 ,
0.15021994504199038 ,
0.12578493443076977 ,
0.0983979327248033 ,
0.09207637558670873 ,
0.09979353017778875 ,
0.14390303881139566 ,
0.15072544587158831 ,
0.1528358930310767 ,
0.13675932576298602 ,
0.15188792761113135 ,
0.14160805998629408 ,
0.18574070199270176 ,
0.20475485948201658 ,
0.2328982831357329 ,
0.2296381646991744 ,
0.20760237493433667 ,
0.2220268674477434 ,
0.21647964271806602 ,
0.2098372055875945 ,
0.1969033372313043 ,
0.21841367988146926 ,
0.19017037605349596 ,
0.24540563802199117 ,
0.24460959282645517 ,
0.2201152439783033 ,
0.1935193522062909 ,
0.1485087360458609 ,
0.12006634516705983 ,
0.0716077905482409 ,
0.046961127576360506 ,
0.021429773406583363 ,
0.0037630229402597637 ,
-0.041082683145713395 ,
-0.08280697467334841 ,
-0.10215574537373029 ,
-0.4848997014873577 ,
-0.4690929319315128 ,
-0.5003415887285949 ,
-0.5319620598918219 ,
-0.5005771902261357 ,
-0.49678898579498204 ,
-0.4910118755756959 ,
-0.46565883205809244 ,
-0.43032964931820195 ,
-0.38132855186644665 ,
-0.33261773098509584 ,
-0.3229012716299686 ,
-0.2834779322527653 ,
-0.26240382276997265 ,
-0.23335150349442302 ,
-0.1788543808358903 ,
-0.15592404105020144 ,
-0.14948963202203436 ,
-0.15701394531473392 ,
-0.16176064262253365 ,
-0.15027489271356695 ,
-0.16617730109192164 ,
-0.17023075774587879 ,
-0.16150581558718627 ,
-0.18299136937376997 ,
-0.20962778943508012 ,
-0.21418254566808614 ,
-0.22151454459872444 ,
-0.20037548281909762 ,
-0.1596085855046186 ,
-0.1560881975711642 ,
-0.18405255525212316 ,
-0.1907905420860136 ,
-0.18038462893505575 ,
-0.1766415742960208 ,
-0.17625541390083055 ,
-0.17487288639183546 ,
-0.11941108888224022 ,
-0.11854709420799286 ,
-0.1010012845951404 ,
-0.10911423482264715 ,
-0.0963052276103526 ,
-0.09109678671700244 ,
-0.08589556203503479 ,
-0.06923010013793462 ,
-0.07831965880457331 ,
-0.08568895704019308 ,
-0.08973839957192548 ,
-0.09776321072954386 ,
-0.09647266466789428 ,
-0.09841031802578193 ,
-0.10602794295695911 ,
-0.12206956442047234 ,
-0.11655245334573239 ,
-0.1080321673762652 ,
-0.11261451079928131 ,
-0.10562136474015948 ,
-0.09126835168497438 ,
-0.06930993385524958 ,
-0.05354133396028665 ,
-0.039928962703523196 ,
-0.02677190810853214 ,
-0.026971970947989643 ,
-0.01687842338082085 ,
-0.026773614226988873 ,
-0.06340903135353065 ,
-0.08537449437128836 ,
-0.09278020567651746 ,
-0.08075520369070982 ,
-0.07402325634795281 ,
-0.0037592071345962097 ,
0.016372725447307945 ,
0.006708764441372861 ,
0.03616437298221403 ,
0.052834865904641204 ,
-0.021152626714098455 ,
-0.043681200986412594 ,
-0.03213069857183948 ,
-0.05545843649037274 ,
-0.05365853027591355 ,
-0.06079662853670159 ,
-0.010479568258110528 ,
0.021677701713929742 ,
0.016464047809836013 ,
0.013575863630077234 ,
0.08390123825574353 ,
0.07800248404758187 ,
0.07095481861989683 ,
0.10426315497257344 ,
0.14543796470130554 ,
0.14138991601601464 ,
0.15869607565647914 ,
0.13099622346910078 ,
0.10980553434097962 ,
